Code INSEE,Année,Gagnant réel,Gagnant prédit,Bonne prédiction
34858,2017,Emmanuel MACRON,Emmanuel MACRON,True
14489,2017,Emmanuel MACRON,Emmanuel MACRON,True
8676,2017,Emmanuel MACRON,Emmanuel MACRON,True
11671,2022,Jean-Luc MÉLENCHON,Emmanuel MACRON,False
32753,2017,Marine LE PEN,Marine LE PEN,True
9261,2017,François FILLON,Jean-Luc MÉLENCHON,False
33293,2017,Marine LE PEN,Marine LE PEN,True
30848,2022,Marine LE PEN,Marine LE PEN,True
27139,2017,Marine LE PEN,Marine LE PEN,True
30702,2017,Marine LE PEN,Marine LE PEN,True
8652,2017,François FILLON,François FILLON,True
31167,2017,Jean-Luc MÉLENCHON,Emmanuel MACRON,False
22227,2017,Marine LE PEN,Marine LE PEN,True
9293,2022,Marine LE PEN,Marine LE PEN,True
33737,2017,Jean-Luc MÉLENCHON,Emmanuel MACRON,False
31809,2017,Marine LE PEN,Marine LE PEN,True
35331,2017,Emmanuel MACRON,Jean-Luc MÉLENCHON,False
29900,2022,Marine LE PEN,Marine LE PEN,True
25301,2022,Emmanuel MACRON,Emmanuel MACRON,True
25322,2017,Emmanuel MACRON,Emmanuel MACRON,True
9597,2017,Marine LE PEN,Marine LE PEN,True
26438,2017,Marine LE PEN,Marine LE PEN,True
23456,2022,Marine LE PEN,Marine LE PEN,True
10623,2017,Marine LE PEN,Marine LE PEN,True
26183,2022,Jean LASSALLE,Emmanuel MACRON,False
17254,2017,Jean-Luc MÉLENCHON,Emmanuel MACRON,False
11749,2022,Marine LE PEN,Marine LE PEN,True
7208,2017,Emmanuel MACRON,François FILLON,False
34044,2022,Marine LE PEN,Marine LE PEN,True
22447,2017,Marine LE PEN,Marine LE PEN,True
935,2017,Marine LE PEN,Marine LE PEN,True
23396,2017,Marine LE PEN,Marine LE PEN,True
34466,2017,Marine LE PEN,Marine LE PEN,True
19207,2022,Marine LE PEN,Marine LE PEN,True
221,2017,François FILLON,Emmanuel MACRON,False
23216,2022,Marine LE PEN,Marine LE PEN,True
15462,2017,Emmanuel MACRON,Emmanuel MACRON,True
1298,2017,Marine LE PEN,Marine LE PEN,True
27648,2017,Marine LE PEN,Marine LE PEN,True
736,2017,Marine LE PEN,Marine LE PEN,True
23028,2017,Marine LE PEN,Marine LE PEN,True
3936,2022,Marine LE PEN,Marine LE PEN,True
21020,2017,Emmanuel MACRON,Emmanuel MACRON,True
11080,2022,Marine LE PEN,Marine LE PEN,True
13406,2017,Emmanuel MACRON,Emmanuel MACRON,True
12569,2022,Emmanuel MACRON,Emmanuel MACRON,True
17512,2017,Marine LE PEN,Marine LE PEN,True
7859,2017,Emmanuel MACRON,Jean-Luc MÉLENCHON,False
9429,2022,Jean-Luc MÉLENCHON,Jean-Luc MÉLENCHON,True
21027,2017,Emmanuel MACRON,Emmanuel MACRON,True
26309,2017,Jean-Luc MÉLENCHON,Jean-Luc MÉLENCHON,True
1343,2022,Emmanuel MACRON,Emmanuel MACRON,True
26407,2017,Marine LE PEN,Marine LE PEN,True
34928,2017,François FILLON,François FILLON,True
35716,2017,Emmanuel MACRON,Emmanuel MACRON,True
8634,2017,François FILLON,François FILLON,True
30828,2017,Jean-Luc MÉLENCHON,Jean-Luc MÉLENCHON,True
33451,2017,Marine LE PEN,Marine LE PEN,True
16098,2017,Emmanuel MACRON,François FILLON,False
27273,2017,Marine LE PEN,Marine LE PEN,True
19282,2022,Marine LE PEN,Marine LE PEN,True
