Code INSEE,Année,Gagnant réel,Gagnant prédit,Bonne prédiction
20502,2017,Marine LE PEN,Marine LE PEN,True
21238,2022,Marine LE PEN,Marine LE PEN,True
28231,2022,Emmanuel MACRON,Emmanuel MACRON,True
35025,2022,Emmanuel MACRON,Emmanuel MACRON,True
1532,2022,Marine LE PEN,Marine LE PEN,True
28413,2022,Emmanuel MACRON,Emmanuel MACRON,True
1305,2022,Emmanuel MACRON,Emmanuel MACRON,True
12539,2022,Marine LE PEN,Marine LE PEN,True
13828,2022,Marine LE PEN,Marine LE PEN,True
32951,2017,François FILLON,Emmanuel MACRON,False
1762,2017,François FILLON,Jean-Luc MÉLENCHON,False
27487,2017,François FILLON,François FILLON,True
1888,2017,Jean-Luc MÉLENCHON,Jean-Luc MÉLENCHON,True
10860,2017,Emmanuel MACRON,Emmanuel MACRON,True
25573,2017,Emmanuel MACRON,Emmanuel MACRON,True
5634,2017,Marine LE PEN,Marine LE PEN,True
4304,2017,Emmanuel MACRON,Emmanuel MACRON,True
955,2017,Marine LE PEN,Marine LE PEN,True
10307,2017,Marine LE PEN,Marine LE PEN,True
12171,2017,Emmanuel MACRON,Emmanuel MACRON,True
18826,2022,Marine LE PEN,Marine LE PEN,True
13217,2017,Marine LE PEN,Marine LE PEN,True
23457,2022,Emmanuel MACRON,Emmanuel MACRON,True
25574,2017,Jean-Luc MÉLENCHON,Emmanuel MACRON,False
22999,2017,Marine LE PEN,Marine LE PEN,True
28118,2022,Marine LE PEN,Marine LE PEN,True
30774,2017,Marine LE PEN,Marine LE PEN,True
11511,2022,Emmanuel MACRON,Emmanuel MACRON,True
27237,2022,Marine LE PEN,Marine LE PEN,True
24882,2017,Emmanuel MACRON,Emmanuel MACRON,True
32681,2022,Marine LE PEN,Marine LE PEN,True
1318,2017,Emmanuel MACRON,Emmanuel MACRON,True
410,2017,Marine LE PEN,Marine LE PEN,True
9984,2017,Marine LE PEN,Marine LE PEN,True
24456,2017,Marine LE PEN,Marine LE PEN,True
34182,2022,Marine LE PEN,Marine LE PEN,True
30016,2017,Marine LE PEN,Marine LE PEN,True
17626,2017,François FILLON,François FILLON,True
6080,2017,Marine LE PEN,Marine LE PEN,True
20043,2017,Jean-Luc MÉLENCHON,Jean-Luc MÉLENCHON,True
30229,2017,Marine LE PEN,Marine LE PEN,True
5713,2017,Emmanuel MACRON,Emmanuel MACRON,True
25862,2022,Marine LE PEN,Marine LE PEN,True
